question,answer,normalized_aliases,correctness
"Whom did Peter Fleming partner when they won the Wimbledon men's doubles title in 1979, 1981, 1983 and 1984?"," John McEnroe
","['john patrick mcenroe jr', 'john mcenroe', 'john mcinroe', 'john patrick mcenroe', 'john macenroe', 'johnny mac']",Correct
If you saw the word 'Sag' on an Indian menu which vegetable would it signify?," Spinach
","['baby spinach', 'spinacia oleracea', 'espinafre', 'paalak', 'spinach', 'english spinach', 's oleracea', 'spinich']",Correct
Donna Summer was popular in what genre of music?,"70s Disco
","['disco funk', 'disco dance', 'disco backlash', 'disco freestyle dancing', 'disco', 'disco era', 'disco music', 'disco sucks', 'proto disco', 'disco dancing']",Incorrect
In which country was BBC newsreader George Alagiah born?," Sri Lanka
","['etymology of sri lanka', 'subdivisions of sri lanka', 'ceylon', 'hela diva', 'sri lanka government', 'ceilan', 'iso 3166 1 lk', 'śrī laṃkāva', 'sri lankan martial arts', 'venerable island', 'seilan', 'tourist sri lanka', 'helaya', 'sri lamka', 'sulloon', 'ilankai', 'republic of sri lanka', 'free sovereign and independent republic of sri lanka', 'cejlon', 'ilaṅkai jaṉanāyaka choṣhalichak kuṭiyarachu', 'socialist republic of sri lanka', 'sri lankan', 'shri lamka prajatantrika samajaya di janarajaya', 'heladiva', 'srí lanka', 'ilankai jananayaka', 'island of ceylon', 'independence of sri lanka', 'இலங்கை', 'sri lankan republic', 'sri lanak', 'srilanka', 's lanka', 'ශ්\u200dරී ලංකා ප්\u200dරජාතාන්ත්\u200dරික සමාජවාදී ජනරජය', 'democratic socialist republic of sri lanka', 'sielediva', 'administrative divisions of sri lanka', 'ceylonese', 'provincial capitals of sri lanka', 'choshalichak kutiyarachu', 'sri lanca', 'sir lanka', 'sri lanka', 'இலங்கை சனநாயக சோசலிசக் குடியரசு', 'ceilao', 'ilaṅkai', 'ilankai jananayaka choshalichak kutiyarachu']",Correct
"With a total drop of 948 meters (3,110 feet) in five free-leaping falls, Tugela Falls is the world's second highest waterfall. They are located in the Drakensberg (Dragon's Mountains) range in which country?"," South Africa
","['zuidafrika', 'azania south africa', 'south africans', 'zuid africa', 'suid africa', 'afrique du sud', 'saffa', 'south africa s', 'third republic south africa', 'ningizimu afrika', 'sou frica', 'iso 3166 1 za', 'soufrica', 'capital of south africa', 's afr', 'seth efrika', 'zuid afrika', 'suid afrika', 'south africaà', 's africa', 'republic of south africa', 'rep of south africa', 'south african', 'beloved country', 'south africa', 'southafrica', 'mzansi', 'republiek van suid afrika']",Correct
What marks a 40th wedding anniversary?,"40th Ruby
","['rubies', 'ruby mines', 'ruby', 'created ruby', 'ruby gemstone']",Incorrect
Which tradesmen performed most of the wedding ceremonies at Gretna Green?," Blacksmiths
","['black smith', 'blacksmith shop', 'blacksmiths', 'blacksmith s striker', 'blacksmith', 'medieval blacksmith', 'blacksmithery', 'ironsmith', 'blacksmithing', 'blacksmiths in colonial america time period', 'world championship blacksmiths']",Correct
Which military leader had a spaniel called Rommel?," Montgomery
","['montgomery', 'harold montgomery', 'montgomery sr', 'harold montgomery sr', 'h montgomery sr', 'h montgomery']",Correct
Which 1981 children’s novel by Roald Dahl sees the main character give his grandmother A potion that consists of many harmful products in the house which he boils only to end up Seeing her grow to a size taller than a house ?," George's Marvellous Medicine
","['george s marvellous medicine', 'george s marvelous medicine', 'george kranky']",Incorrect
"On August 10, 1821, this state, known as the Show Me State, was admitted to the Union as #24?"," Missouri
","['economy of missouri', 'misuri', 'missouri', 'misouri', 'politics of missouri', 'myssouri', '24th state', 'demographics of missouri', 'religion in missouri', 'missouri united states', 'state of missouri', 'us mo', 'missoura', 'missourah', 'showme state', 'show me state', 'mo state', 'transportation in missouri', 'transport in missouri', 'missourri', 'missouri state', 'twenty fourth state', 'missouri u s state', 'misourri']",Correct
"Who, in 1931, designed the map of the London Underground?"," Edward Johnston
","['henry c beck', 'harry beck graphic designer', 'henry beck', 'harry beck', 'h c beck']",Incorrect
Which common chemical element has the atomic number 20?," Calcium
","['calcium ion', 'calcium supplement', 'factor 4', 'calcium supplements', 'element 20', 'kalcium', 'ca 2', 'factor iv', 'calcium supplementation', 'h and k lines', 'calcium ions', 'calcium', 'calium', 'calcium compounds']",Correct
"In Japan, what is the Shinkansen?"," Bullet train
",['high speed rail line'],Incorrect
Which Middle Eastern capital city is served by 'Queen Alia Airport'?," Amman
","['ٰāmmān', 'amman', 'amman jo', 'rabbath ammon', 'rabbah', 'عمان', '7th circle amman', 'ʿammān', 'capital of jordan', 'aman capital', 'amman hashemite kingdom of jordan', 'aman jo', 'ammon', 'amman jordan']",Correct
"In the TV show ‘Mrs. Brown’s Boys’, what is Mrs. Brown’s first name?"," Agnes
","['agnes sorel solitaire', 'agnes disambiguation', 'agnes']",Correct
"What is the occupation of Oliver Smallbridge, played by Windsor Davies, and Simon Peel, played by Donald Sinden in the long running sitcom Never the Twain?","1st is a river boat captain, 2nd a safari guide
",['antique dealers'],Incorrect
"What movie, a staple of the midnight circuit, is the longest running theatrical release in film history, having first been released on September 26, 1975?"," Rocky Horror Picture Show
","['rhps', 'trhps', 'brad majors', 'rhpc', 'revenge of old queen', 'doctor everett scott', 'dr everett scott', 'frank n furter', 'rocky horror picture show riff raff', 'rocky horror picture show', 'janet weiss rocky horror', 'denton affair', 'dr frank n furter']",Correct
What was the name of the meeting that drafted the United States Constitution in 1787?," Constitutional Convention
","['constitutional convention of united states', 'u s constitutional convention', 'grand convention', 'constitutional convention 1787', 'federal convention', '20 years compromise', '1787 constitutional convention', 'constitutional convention united states', 'united states constitutional convention', 'philadelphia convention of 1787', 'constitutional convention of 1787', 'american constitutional convention', 'federal convention of 1787', 'philadelphia convention']",Incorrect
"Which state in the USA is equidistant from the Atlantic and Pacific Oceans, containing both the geographic centre of the 48 contiguous USA states and the geodetic centre of North America?"," Kansas
","['transport in kansas', 'state of kansas', 'sunflower state', '34th state', 'culture of kansas', 'politics of kansas', 'thirty fourth state', 'sports in kansas', 'kansas united states', 'kans', 'kansas', 'demographics of kansas', 'kansas u s state', 'kansas state', 'cansas', 'brownbackistan', 'religion in kansas', 'economy of kansas', 'transportation in kansas', 'climate of kansas', 'kan', 'geography of kansas', 'ks usa', 'kansasanian soviet socialist republic', 'law of kansas']",Correct
What iconic London institution was sold to the Qatar Investment Authority (Qatar's sovereign wealth fund) in May 2010?,"51% of Harrods
","['harrod s', 'harrods', 'harrods group', 'princess diana and dodi fayed memorial', 'harrods food hall', 'harrods department store']",Incorrect
Which English king was married to Anne of Bohemia?," Richard II
","['richard ii king of england', 'richard ii', 'richard ii of england', 'richard duke of cornwall', 'king richard ii', 'richard ii england', 'richard ii king of english', 'king richard ii of england']",Correct
The East Siberian Sea lies in which body of water?," Arctic Ocean
","['arctic shelf', '84th parallel north', 'arctic sea', 'east greenland rift basins', 'latitude 84 degrees n', 'artic ocean', '88th parallel north', 'arctic seas', 'latitude 87 degrees n', 'arctic animals', 'latitude 88 degrees n', 'arctic coast', 'latitude 86 degrees n', 'russian ocean', 'east greenland rift basin', 'latitude 89 degrees n', '86th parallel north', 'northern ocean', 'cronian sea', 'arctic mediterranean sea', '89th parallel north', 'latitude 85 degrees n', 'arctic ocean', '87th parallel north', '85th parallel north']",Correct
"In Greek mythology, what is the name of the mortal woman who challenged the goddess Athena to a weaving contest and was turned into a spider by Athena?"," Arachne
","['arakne', 'arakhne', 'arachné', 'arachne']",Correct
Which company produced the WW1 aircraft the 'Camel'?," Sopwith
",['sopwith'],Correct
"""Who wrote the poem """"The Love Song of J Albert Prufrock""""?"""," T S Eliot
","['t s eliott', 'thomas s eliot', 'sweeney among nightingales', 'thomas stearns', 'eliotian', 'prufrock and other observations', 'thomas stearns eliot om', 'ts elliot', 't s eliot', 't s elliott', 't s elliot', 'ts eliot', 't s thomas stearns eliot', 't eliot', 't s e', 'thomas stearns eliot']",Correct
"How were Fleegle, Bingo, Drooper and Snork better known collectively on TV?","4 The Muppets
","['banana split', 'banana split cake', 'banana splits', 'bananasplits', 'banana split pie']",Incorrect
"""What is the common name for """"lentigo""""?"""," Freckle
","['freckles', 'ephelide', 'ephelids', 'efelids', 'frikle', 'freckle', 'freckled face', 'freckling', 'ephelides', 'frickle', 'ephelis']",Correct
Which Nottinghamshire fast bowler who died in 1995 was best known for implementing the 'Fast Leg Theory' in the Bodyline Ashes Test series in 1932/33?," Harold Larwood
",['harold larwood'],Correct
Who was attacked in the American press in 1972 as `Hanoi Jane'?," Jane Fonda
","['ipc films', 'jane fonda', 'jane seymour fonda', 'jayne seymour fonda', 'hanoi jane', 'jane fonda foundation']",Correct
Who is the only P.M to have been assassinated?,"1st Earl Spencer
","['spencer perceval kc', 'spencer perceval', 'spencer percival']",Incorrect
For which Rugby Union club does Leigh Halfpenny play?," Cardiff Blues
","['toulon sur mer', 'toulon', 'toulon france', 'telo martius', 'toulon var']",Incorrect
"In Greek myth, who was the wife of Odysseus who remained faithful during his long absence?"," Penelope
","['penélopê', 'penelope wise', 'penelope', 'penelopeia', 'penolope', 'heedful penelope']",Correct
The average Britain in their life consumes 1000 lb of what?," Sugar
","['bird s nest root', 'devil s plague', 'carrot', 'carrots', 'black carrot', 'bee s nest', 'karrot', 'bee s nest plant', 'carota', 'daucus carota subsp sativus', 'common carrot']",Incorrect
"In Judaism, what name is given to the ram’s horn blown in a synagogue as a call to repentance?"," Shofar
","['shebarim', 'shofarot', 'ba al tokea', 'שופר', 'shofar']",Correct
"In Worzel Gummidge, who played the character of Aunty Sally?","	Una Stubbs
",['una stubbs'],Correct
"Jeanne-Antoinette Poisson, the official mistress of Louis XV of France from 1745 to 1750, lent her titled name to what hairstyle?"," The Pompadour
","['pompadour', 'pompadour disambiguation', 'pompador', 'pompadore']",Correct
Of what is hagiology the study?," Saints
","['saintes', 'saint disambiguation', 'saints album', 'saints disambiguation', 'saint', 'saintes disambiguation', 'saints']",Correct
Which Mediterranean island was once known as Alashiya?,"	Cyprus
","['culture of cyprus', 'kibris', 'political system of cyprus', 'architecture of cyprus', 'south cyprus greek cyprus', 'cyprus', 'kıbrıs', 'country cyp', 'greek cyprus', 'cyprus goods', 'greek republic of cyprus', 'greek cypriot administration of southern cyprus', 'cyprus republic of', 'colony of cyprus', 'island of cyprus', 'southern cyprus', 'ciprus', 'name of northern cyprus', 'kypros', 'history of ancient cyprus', 'κύπρος', 'republic of cyprus', 'name of cyprus', 'κυπριακή δημοκρατία', 'zypern', 'cyrpus', 'etymology of cyprus', 'iso 3166 1 cy']",Correct
"What famous event took place on December 16th, 1773?"," Boston Tea Party
","['eleanor ship', 'boston tea', 'dartmouth ship', 'bostons tea party', 'boston tea party ships and museum', 'destruction of tea in boston', 'boston tea party', 'destruction of tea', 'beaver ship']",Correct
‘The Picture of….’who’? Is a novel by Oscar Wilde?," Dorian Gray
","['picture of dorian gray chapter 2', 'dorian grey', 'picture of dorian gray chapter 17', 'portrait of dorian gray', 'picture of dorian gray chapter 4', 'dorian gray', 'picture of dorian gray chapter 5', 'picture of dorian grey', 'picture of dorian gray chapter 8', 'picture of dorian gray', 'sybil vane', 'picture of dorian gray chapter 12', 'picture of dorian gray chapter 16', 'lord henry', 'picture of dorian gray chapter 18', 'picture of dorian gray chapter 6', 'picture of dorian gray chapter 15', 'picture of dorian gray chapter 20', 'dorion gray', 'picture of dorian gray chapter 13', 'dorion grey', 'picture of dorian gray chapter 14', 'basil hallward', 'picture of dorien grey', 'picture of dorian gray chapter 19', 'picture of dorian gray chapter 1', 'portrait of dorian grey', 'picture of dorian gray chapters', 'picture of dorian gray chapter 10', 'picture of dorian gray chapter 7', 'picture of dorian gray chapter 3', 'picture of dorian gray chapter 9', 'lord henry wotton', 'picture of dorian gray chapter 11']",Correct
"If Elton John has had 7, ABBA have had 9, and Cliff Richard has had 14, who has had the most with 21?"," Elvis Presley
","['elivs', 'gladys love presley', 'apron strings', 'elvis aaron presley', 'elvis presly', 'elvis aaron pressley', 'king actor singer', 'elvis pres', 'presleyesque', 'elvisesque', 'mr aaron', 'elvis pres ey', 'jesse presley', 'elvis aron presley', 'lovely mamie', 'keep your hands off of it', 'gladys presley', 'cattle call yodel', 'elvis pressly', 'elvis aron pressley', 'oh how i love jesus', 'i asked lord', 'i ain t about to sing', 'vernon elvis presley', 'vernon presley', 'presley elvis', 'elvis aaron', 'i didn t make it on playing guitar', 'elvis presley', 'elvis presley s political beliefs', 'dainty little moonbeams', 'he s only prayer away', 'it s no fun being lonely', 'ginger alden', 'mary lou brown', 'elvis aaron pressly', 'king entertainer', 'vernon and gladys presley', 'elvis pressley', 'elvis', 'elvis pelvis', 'little mama', 'elvis prestly', 'show me thy ways o lord', 'elvis extravaganza', 'elvis presley discography', 'jesse garon presley', 'death of elvis presley', 'gladys love smith', 'long lonely highway', 'frank page radio', 'political beliefs of elvis presley', 'elvis discography', 'elvis aron', 'elvis presely', 'elvis aron pressly']",Correct
Which female gymnast won Gold Medals in the Balance Beam and Floor Exercise events in the 1972 Summer Olympics?," Olga Korbut
","['sparrow from minsk', 'olga corbitt', 'olga corbit', 'olga valentinovna korbut', 'olga korbut']",Correct
The buccaneer Henry Morgan was pardoned and knighted by which king?," Charles II
","['king charles second', 'king charles ii', 'charles ii', 'charles second', 'charles 6', 'charles 2', 'charles ii disambiguation']",Correct
Whose portrait was painted by the fictional artist Basil Hallward?," Dorian Gray
","['picture of dorian gray chapter 2', 'dorian grey', 'picture of dorian gray chapter 17', 'portrait of dorian gray', 'picture of dorian gray chapter 4', 'dorian gray', 'picture of dorian gray chapter 5', 'picture of dorian grey', 'picture of dorian gray chapter 8', 'picture of dorian gray', 'sybil vane', 'picture of dorian gray chapter 12', 'picture of dorian gray chapter 16', 'lord henry', 'picture of dorian gray chapter 18', 'picture of dorian gray chapter 6', 'picture of dorian gray chapter 15', 'picture of dorian gray chapter 20', 'dorion gray', 'picture of dorian gray chapter 13', 'dorion grey', 'picture of dorian gray chapter 14', 'basil hallward', 'picture of dorien grey', 'picture of dorian gray chapter 19', 'picture of dorian gray chapter 1', 'portrait of dorian grey', 'picture of dorian gray chapters', 'picture of dorian gray chapter 10', 'picture of dorian gray chapter 7', 'picture of dorian gray chapter 3', 'picture of dorian gray chapter 9', 'lord henry wotton', 'picture of dorian gray chapter 11']",Correct
On which river does the Kariba Dam stand?," Zambezi
","['kabra bassa rapids', 'zambezi river', 'zambezi basin', 'river zambezi', 'great zambezi river', 'zambesi river', 'zambeze river', 'zambezi', 'zambezi valley', 'sambesi', 'zambeze', 'zambesi', 'zambezian coastal flooded savanna']",Correct
Which 1946 film was an adaptation of Raymond Chandler's crime novel of the same name?," The Big Sleep
","['big sleep novel', 'big sleep']",Correct
Where would you find a stalagmite?," Cave
",['in cave'],Incorrect
"In dentistry, what name is given to a gap between the two front teeth?"," Diastema
","['teeth cleavage', 'diastema dentistry', 'gap tooth', 'tooth cleavage', 'diastema', 'gap teeth', 'teeth gap', 'diastemata', 'dental diastema', 'front teeth space']",Correct
Market Drayton and Church Stretton are towns in which English county?," Shropshire
","['shropshire england', 'salop', 'economy of shropshire', 'salopia', 'geography of shropshire', 'salops', 'county of shropshire', 'wrickton', 'basford shropshire', 'rhosygadfa', 'shropshire', 'woundale', 'shrops', 'county of salop']",Correct
In the Bible who was the wife of Boaz?," Ruth
","['ruth crater', 'ruth', 'ruth disambiguation', 'ruthian', 'ruthie']",Correct
In which US city is was the first skyscraper said to have been built in 1885?," Chicago
","['sayre language academy', 'chicago transportation committee', 'chicago illinois u s', 'sister cities of chicago', 'sister cities chicago', 'transport in chicago', 'chicago illinois', 'chicago illinois usa', 'chi town', 'hog butcher for world', 'religion in chicago', 'chicago', 'chicago wi', 'near north montessori', 'un locode uschi', 'city of broad shoulders', 'chicago theatre', 'chicago usa', 'uschi', 'chicago il', 'city of chicago', 'chicago finance committee', 'list of sister cities of chicago', 'chi beria', 'weather in chicago', 'chicago wisconsin', 'land of smelly onions', 'ariel community academy', 'chicago theater scene', 'chicago united states', 'paris of america', 'chicago illionis', 'chicago illinois united states', 'chcago', 'chi city', 'chicago illinois us', 'performing arts in chicago', 'chicago theatre scene', 'chichago', 'chicago ill', 'city of chicago illinois']",Correct
"Commissioned by Queen Victoria in memory of her husband, in which Royal park would you find the Albert Memorial?"," Hyde Park
",['kensington gardens'],Incorrect
Harry Osborn is the offsider to which comic book superhero?," Spider-Man
","['spider man comics', 'spindelmannen', 'web slinger', 'spiderman', 'parker peter', 'human spider', 'peter parker', 'peter parker fiction', 'fictional history of spider man', 'scarlet spider peter parker', 'creation of spider man', 'radioactive spider', 'spider man marvel comics', 'webslinger', 'spider man', 'peter b parker', 'wallcrawler', 'spidey', 'spidee', 'petey parker', 'list of accolades received by spider man franchise', 'spider man peter parker', 'wall crawler', 'man spider', 'webhead', 'peter parker spider man', 'web head', 'peter benjamin parker']",Correct
Which cartoon character had friends called Velma Dinidey and Daphne Blake?," Scooby-Doo
","['scooby feces', 'scooby doo tv series', 'i would have gotten away with it if it weren t for you meddling kids', 'mystery machine', 'black knight ghost', 'list of scooby doo episodes', 'zentuo', 'scooby doo', 'skooby doo', 'momsy and dada doo', 'scooby do', 'scoobydo', 'adult themes and scooby gang', 'scoobydoo', 'scoobie doo', 'charley robot', 'adult themes in scooby doo', 'scooby doo dvd movies', 'mystery inc', 'scooby doo series guide', 'elias kingston', 'scooby gang', 'scooby doo 3 unleashed', 'pterodactyl ghost', 'meddling kids', 'ruby doo', 'i would have gotten away with it if it wasn t for you meddling kids', 'scooby doo comics', 'list of scooby doo villains', 'scooby doo marketing', 'my friend scooby doo']",Correct
The 'Loop of Henle' is found in which organ of the human body?," Kidney
","['interstitial kidney cells', 'renal', 'nephrous', 'cortical collecting tubule cell', 'inner medullary collecting duct cell', 'pole of kidney', 'renal agents', 'kidney', 'renally', 'renal system disease', 'duplex kidney', 'kidney diseases', 'kidney disorders', 'interstitum', 'kidney food', 'kidneys', 'nephric', 'upper pole of kidney', 'hind kidney', 'kindey cell', 'thick ascending limb cell', 'human kidney', 'renal disorder', 'renal system', 'metanephroi', 'renal anomalies', 'renal hilus', 'nephros', 'nephridial', 'kidney disorder']",Correct
On a standard Monopoly board which property makes up the light blue set along with Euston Raod and Pentonville Road?," Old Kent Road
","['angel hotel islington', 'angel islington', 'angel hotel', 'angel corner house', 'angel inn', 'angel london', 'angel cafe restaurant']",Incorrect
"In the King James Version, which eponymous book of the Old Testament follows 'Isaiah' and precedes 'Lamentations'?"," Jeremiah
","['yirmiahu', 'yermiyahu', 'yirmiyahu', 'yirmyohu', 'jeremiah in rabbinic literature', 'armya', 'weeping prophet', 'jeremiah prophet', 'yirmya', 'yirmia', 'yirmeyahu', 'yirmiyohu', 'yirmeya', 'jeremias prophet', 'yirmiya', 'jeremias', 'yirmiyah', 'yirmeyah', 'yirmiah', 'יִרְמְיָהוּ', 'yirmyah', 'jeremiah', 'yirmyahu']",Correct
Which American owned a yacht called 'Honey Fitz'?," John F Kennedy
","['early years of john f kennedy', 'camelot era', 'j f k administration', 'j f k', 'john fitzgerald kennady', 'kennedyesque', 'john f kenedy', 'john f kennedy', 'jfk administration', 'john f kennedie', 'president kennedy', 'john f 22jack 22 kennedy', 'u s president j f kennedy', 'kennedyism', 'jack kennedy', 'jfk president', 'jf kennedy', 'eponyms of john f kennedy', 'jfk', 'president john f kennedy', 'john fitzgerald kennedy', 'j f kennedy', 'kennedy john f', 'john fitzgerald 22jack 22 kennedy', 'jhon f kennedy', 'kennedy era', 'john kennedy', 'my god i m hit', 'john f k', 'kennedy administration', '35th president of united states', 'president john kennedy', 'john f kennedy and civil rights', 'senator john f kennedy']",Correct
At which temperature do Fahrenheit and Celsius meet?,"40
",['40 degrees'],Incorrect
"With the county town of Lifford, which is the most northerly of the counties of the Irish Republic?"," Donegal
","['donegal', 'donegal borough', 'donegal ireland', 'dún na ngall', 'donegal town', 'dun na ngall']",Correct
"Name the actress who left Eastenders in 2011 after 25 years in the show, she played Pat Evans (also Beale, Wicks and Butcher)?"," Pam St Clement
",['pam st clement'],Correct
How many bones are there in a normal human hand?,"27
","['27', 'twenty seven']",Correct
"In 17th century England, what was at various times 'Addled', 'Short' and 'Useless'?","1650s Parliament
","['parlament', 'parliamnet', 'parliarment', 'parliment', 'parlaiment', 'cabinet parliamentary', 'parliamentary government', 'national parliaments', 'national parliament', 'parliaments of europe', 'parliaments', 'parliament']",Incorrect
The Ffestiniog Railway runs from Blaenau Ffestiniog to which other Welsh town?," Porthmadog
","['borth y gest', 'lord of gest', 'porthmadog wales', 'porthmadog', 'portmadoc']",Correct
"""What is meant by the suffix """"-algia"""", as in neuralgia?"""," Pain
","['pain song', 'pain', 'pain band', 'pain disambiguation', 'pain album']",Correct
What is the name of the fluid that surrounds the embryo in the womb?," Amniotic fluid
",['amniotic'],Incorrect
Name the Captain of the Titanic when she sunk in 1912," Edward Smith
","['edward c smith', 'ed smith disambiguation', 'eddie smith', 'edward j smith politician', 'edward smith disambiguation', 'ed smith', 'edwin smith disambiguation', 'edward h smith', 'edward c smith disambiguation', 'edward j smith', 'edgar smith disambiguation', 'edwin smith', 'edgar smith baseball', 'smith ed', 'edward smith']",Correct
What creature is the symbol of the American Democratic Party?," Donkey
","['braying', 'ass animal', 'male donkey', 'mating donkeys', 'donkey', 'she ass', 'female donkey', 'donkeys', 'wild donkeys', 'jenny donkey', 'domestic donkey', 'equus asinus', 'she asses', 'equus africanus asinus', 'feral donkey', 'domestic ass', 'donkey meat']",Correct
"""Which long-running British TV series which began as a one-off drama entitled """"Woodentop"""" revolves around the lives of policemen stationed at Sun Hill?"""," The Bill
","['bill previous episode', 'bill tv series', 'sunhill siege 2007', 'pc samuel harker', 'douglas wright bill', 'bill on itv', 'sun hill police station', 'chief superintendent s party', 'eddie olosunde', 'episode1 11 bill', 'doug wright bill', 'chief inspector paul stritch', 'mbarnes', 'sun hill station', 'sunhill seige 2007', 'jane kendall', 'recurring and minor cast of bill', 'sun hill bill', 'bill present cast', 'episode2 12 bill', 'sweet smell of failure', 'bill']",Correct
Which English 'Indie' rock group had a top ten hit in April 2008 with 'Always Where I Need To Be'?,"1927
","['kook disambiguation', 'kooks disambiguation', 'kook', 'kooks']",Incorrect
Who did Sophie Rhys-Jones marry in 1999?," Prince Edward
","['earl of wessex', 'hrh earl of wessex', 'edward anthony richard windsor', 'prince edward earl of wessex', 'earl and countess of wessex', 'edward windsor earl of wessex', 'prince edward', 'hrh prince edward', 'edward wessex', 'prince edward 1st earl of wessex', 'edward 1st earl of wessex', 'edward earl of wessex', 'prince edward of united kingdom', 'ardent productions']",Correct
In which century did William Wallace live most of his life ?,"13th
","['13th', '13', 'thirteen']",Correct
Where in the human body are the 'Billroth Cords'?," Oesophagus
","['lienal', 'visceral surface of spleen', 'splenctic', 'penicilliary radicle', 'lienalis', 'spleens', 'splenetic', 'spleen', 'spleen disease', 'spleeny', 'visceral surface', 'spleen disorders', 'splenic diseases', 'spleenful', 'diaphragmatic surface of spleen', 'splenic']",Incorrect
What is Mick Hucknell's band?," Simply Red
","['simple red', 'simply red', 'frantic elevators']",Correct
Selina Kyle is the alter ego of which comic book (and film) super heroine?," Catwoman
","['catwomen', 'mistress selina kyle', 'cat women', 'catwoman comic book', 'nehko chan', 'selena kyle', 'catwoman12', 'helena kyle', 'selina kyle in other media', 'catwoman', 'catwoman comics', 'catwoman mortal kombat vs dc universe', 'catwoman selina kyle', 'selina kyle', 'cat woman', 'mistress selina']",Correct
The Brenner Pass connects Italy with which other country ?,"	Austria
","['republik osterreich', 'republik oesterreich', 'austria', 'austurriki', 'administrative divisions of austria', 'austrian architecture', 'alpine deutschen', 'eastreach', 'oostenrijk', 'austurríki', 'architecture of austria', 'avstria', 'etymology of austria', 'österreich', 'osterreich', 'republik österreich', 'oesterreich', 'easterrealm', 'republic of austria', 'austrian republic', 'österrike', 'iso 3166 1 at', 'ostria', 'autriche']",Correct
The Tyrol is a region in which mountain range?,"	Alps
","['german alps', 'peaks and passes of alps', 'mountain region of alps', 'italian alps', 'alps mountains', 'alpine plants', 'european alps', 'tourism in alps', 'alpe', 'alps', 'alpine mountains', 'alpine nations']",Correct
British comedian Michael Joseph Pennington is better known by what name?," Michael Palin
","['michael joseph pennington', 'johnny vegas']",Incorrect
Name Ernest Hemmingway's book dealing with bullfighting?," Death In The Afternoon
","['fiesta film', 'fiesta single', 'fiesta', 'fiesta album', 'fiesta disambiguation', 'fiesta song', 'fiestas']",Incorrect
What is the colour of the flower edelweiss?," White
","['white', 'white hampshire cricketer']",Correct
Vatsyayana completed which erotic piece of work in 400 AD?," Kama Sutra
","['karma sutra', 'indian erotic sex', 'kama sutram', 'kamasutra', 'kama sutra', 'kamasutram']",Correct
What is the staple food of one third of the world’s population?," Rice
","['rice', 'price technique', 'hirice', 'price', 'p r i c e', 'hi rice', 'rice medicine', 'rcce', 'r i c e']",Correct
What subject does Catherine Tate’s character teach in ‘Big School’?,"1980s pop music
","['french disambiguation', 'french', 'frenchness', 'francaise', 'francais', 'frrench', 'français']",Incorrect
"‘Houses of the Holy’ in 1973 was the fifth album released by which band, the first three contained the name of the band and the fourth was untitled?"," Led Zeppelin
","['led zepplin', 'led zepellin', 'zep head', 'zeppelin band', 'led zeppelin radio', 'new yardbirds', 'led zepp', 'led zep', 'led zeppelin', 'lead zeppelin', 'led zeppelin biography', 'lead zepplin', 'led zeppellin', 'zephead', 'led zepelin', 'led zeppelin band', 'ledzep', 'led zeplin', 'zeppelin led']",Correct
What is the name for the heir to the French throne?," Dauphin
","['dauphin', 'dauphins', 'dauphin heir apparent', 'dauphin disambiguation', 'dauphian', 'dauphain', 'dauphin electoral district']",Correct
"Besides lions, what animal appears on the coat of arms of Queen Elizabeth II?"," Unicorn
","['unihorn', 'hunt for unicorn', 'ainkhuern', 'unicorn', 'ainkhurn', 'unicorn s horn', '🦄', 'unicorns']",Correct
"In October 1992, which singer ripped up a photo of Pope John Paul II on Saturday Night Live, after performing a song protesting alleged child abuse by the Catholic Church?"," Sinéad O'Connor
","['sinead oconnor', 'sinead o 60connor', 'mother mary bernadette', 'sinead o conner', 'sinéad o 60connor', 'sinéad o connor', 'sinead o conor', 'sinead o connor', 'sinead oconner', 'barry herridge', 'live year of horse value of ignorance']",Incorrect
In which Irish mountain range does the River Liffey rise?," Wicklow
","['sléibhte bhaile átha cliath', 'wicklow mountains', 'dublin mountains', 'sléibhte chill mhantáin']",Incorrect
"The yellow, brown and red pigments known as ochres are oxides of which metal?"," Iron
","['nephro fer', 'iorn', 'fe 40', 'reduced iron', 'ferryl', 'element 26', 'iron compounds', 'iron rope', 'iron truss', 'ferretts', 'feratab', 'ed in sol', 'yieronia', 'ferrousal', 'extraction of iron', '7439 89 6', 'siderol', 'feostat', 'iron essay', 'ferrous compounds', 'ferro time', 'vitedyn slo', 'iron production', 'ferro caps', 'ferrum element', 'symbol of iron', 'mol iron', 'iron', 'fer in sol', 'slow fe', 'iron element', 'feronate', 'ferric compounds']",Correct
Which modern English county did the Iceni inhabit?," Norfolk
","['norfolk', 'norfolk uk', 'county of norfolk', 'norfolkshire', 'norfolk england']",Correct
"Dubbed ""the most controversial woman in the history of rock"" by Rolling Stone, what all around waste of breath fronted the alt band Hole, is barred from having contact with her own daughter, and is probably most famous for making Kurt Cobain want to eat his own shotgun?"," Courtney Love
","['courteney love', 'courtney michelle', 'courtney michelle singer', 'courtney love cobain', 'courtney michelle harrison', 'courtney michelle cobain', 'love courtney', 'coco rodriguez', 'courtney love', 'courtney michelle love', 'died blonde']",Correct
What is the collective noun for asparagus," Bundle
","['bundle disambiguation', 'bundle', 'bundle object', 'bundling disambiguation', 'bundles', 'bundling']",Correct
