question,answer,logits,normalized_aliases
What ocean borders the US state of Georgia?," Atlantic Ocean
","[[0.5156199336051941, 0.4843800961971283]]","['east atlantic', 'atlantic ocean', 'north atlantic ocean', 'ethiopian ocean', 'oceanvs occidentalis', 'atlantic basic', 'south atlantic', 'altantic ocean', 'south atlantic ocean', 'atlantic basin', 'north atlantic fisheries', 'northern atlantic', 'north east atlantic', 'antlantic ocean', 'sea of atlas', 'occidental ocean', 'atlantic', 'across pond', 'atlantic coast', 'atlantic oceans', 'north atlantic', 'ethiopic ocean', 'pond', 'central atlantic', 'atlantis thalassa']"
Who directed The Big Sleep and Gentlemen Prefer Blondes?," Howard Hawks
","[[0.41111084818840027, 0.5888891220092773]]","['howard hawk', 'howard hawks', 'howard winchester hawks']"
In Holst's suite 'The Planets' who is the bringer of old age?,"12
","[[0.16885696351528168, 0.8311430811882019]]","['saturn planet', 'saturn astronomy', 'planet saturn', 'atmosphere of saturn', 'sol vi', 'sun g', 'saturn', 'sixth planet', 'sol g', '♄', 'saturno planet', 'saturnus planet', '6th planet', 'sol 6', 'weather of saturn', 'astronomy saturn', 'saturn s']"
"Fairy rock chimneys are a feature of Colorado and the Badlands in North America, the south of France, Taiwan, and Serbia and also, with houses carved from the formations, where?","1000 Lakes region of Minnesota
","[[0.3345894515514374, 0.665410578250885]]","['pontus cappadocicus', 'cappadocians', 'capadocians', 'kingdom of cappadocia', 'classical cappadocia', 'capadoccia', 'cappedocia', 'peri bacalari', 'cappa docia', 'cappadoccia', 'cappodocia', 'ancient cappadocia', 'kappadokia', 'cappadocia turkey', 'kappadokía', 'capadocia', 'capadocian', 'cappadocia', 'katpatuka', 'cappadocian', 'kapadokya']"
"Which element, with a melting point of 3,370 degrees C was discovered in 1783 by Jos and Fausto Elhuyar?","1783
","[[0.2393493503332138, 0.7606506943702698]]","['tungsten', 'tungstenic', 'wolframium', 'tungston', 'tungsten processing', 'tungsten alloy', 'w element', 'tungsten carbonate', 'element 74', 'tungsten mining', 'tungsten compounds', 'tungstem', 'wolfram element']"
What score are the players in baccarat trying to get,"9
","[[0.3345894515514374, 0.665410578250885]]","['nine', '9']"
"Originally titled Your Radio Playhouse, what long running PBS radio series is hosted by Ira Glass?"," This American Life
","[[0.6477982401847839, 0.35220178961753845]]","['this american life', 'that american life', 'your radio playhouse']"
What musical instrument has the nickname 'the devil's box'?,"12-string guitar
","[[0.314050555229187, 0.6859495043754578]]","['violon', 'violino', 'violin instrument', 'viollon', 'carnatic violin', 'violina', '🎻', 'violinist', 'violins', 'geige', 'fiddleandviolin', 'fiddle and violin', 'violin', 'violinist disambiguation', 'violin tuning', 'violin player']"
The Great Barrier Reef lies off the shores of what country?," Australia
","[[0.4455295503139496, 0.5544704794883728]]","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
What was the name by which we called Thailand before 1939 and between 1945 and 1949?,"1939-1945: Siam; 1945-1949: Thai Rattanakosin
","[[0.3106943964958191, 0.6893056035041809]]","['thailand', 'kingdom of thailand', 'kingdom of thai', 'เมืองไทย', 'prathet thai', 'name of thailand', 'thayland', 'taihland', 'muang thai', 'iso 3166 1 th', 'skateboarding in thailand', 'thai kingdom', 'sport in thailand', 'siam thailand', 'sayam', 'siam', 'ratcha anachak thai', 'ราชอาณาจักรไทย', 'etymology of thailand', 'tailand', 'thailande', 'ประเทศไทย', 'thai empire']"
Which town in Buckinghamshire is famous for its annual 'pancake race'?," Wendover
","[[0.4378235340118408, 0.562176525592804]]","['olney disambiguation', 'olney']"
What is the English name for the Rossini opera 'La Gazza Ladra'?," The Thieving Magpie
","[[0.47268345952033997, 0.5273165106773376]]","['giannetto', 'thieving magpie', 'theivish magpie', 'la pie voleuse', 'gazza ladra', 'thievish magpie', 'la gazza ladra', 'die diebische elster']"
Which state has the lowest population density?,"1. Alaska
","[[0.2598256766796112, 0.740174412727356]]","['аляска', 'alaska usa', 'alaska city alaska', 'alaskan', 'rail transport in alaska', 'alyaska', 'city alaska', 'ulaska', 'alaksa', 'film industry in alaska', 'alasca', 'culture of alaska', 'elaska', 'largest us state', 'forty ninth state', 'us ak', '49th state', 'recording district alaska', 'alaska united states', 'state of alaska', 'alaska state', 'town alaska', 'alaska', 'alaska heritage resources survey', 'religion in alaska', 'alaska u s state', 'arasuka', 'alaskans', 'education in alaska']"
What colour is the Wirral Line on the Merseyrail network map?,"2
","[[0.25091278553009033, 0.7490872144699097]]","['greenishness', 'color green', '0 255 0', 'green color', 'green', 'rgb 0 255 0', 'avacado color', 'greenest', 'list of terms associated with color green', 'greenness', 'greenishly', 'colour green', 'pastel green', 'green colour']"
"Hans Riegel of Bonn, Germany, formed which confectionary company in 1920?"," Haribo
","[[0.49218809604644775, 0.5078118443489075]]","['haribo sugarless gummy bear', 'haribo', 'maoam']"
In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,"1000m Sprint
","[[0.25091278553009033, 0.7490872144699097]]","['women s skeleton', 'bob skeleton', 'skeleton racing', 'skeleton sport', 'skeleton winter sports', 'skeleton bob', 'skeleton sledding']"
What is a cricket umpire signalling when he holds out one arm horizontally?,"6 runs
","[[0.30074557662010193, 0.6992543935775757]]","['no ball', 'no balls']"
"Which-singer's voice was of the leading actress in the films 'Gentlemen Prefer Blondes', 'The King and I', 'West Side Story' and 'My Fair Lady'?"," Marni Nixon
","[[0.47268345952033997, 0.5273165106773376]]","['marnie nixon', 'marni nixon']"
In terms of Skyfall product placement what watch brand does James Bond wear?,"007
","[[0.4378235340118408, 0.562176525592804]]","['5comega', 'omega', 'œmega', 'ω', 'omega greek', 'ωμέγα', 'omega letter']"
Which horse won the 2013 Aintree Grand National ?,"1000 Guineeer
","[[0.2018132209777832, 0.7981867790222168]]","['auroras encore', 'aurora s encore']"
"If you were on holiday at the coastal resort of Bodrum, which country would you be in"," Turkey
","[[0.5698526501655579, 0.43014734983444214]]","['turkey', 'tuerkiye', 'türkiye respublikası', 'republic of turkiye', 'tuerkei', 'etymology of turkey', 'türkiye', 'turkiye', 'tuerkiye cumhuriyeti', 'türkiye cumhuriyeti', 'republic of turkey', 'turky', 'turkish republic', 'türkiye respublikasi', 'turquia', 'iso 3166 1 tr', 'turkey nation', 'turkia', 'terky', 'turkei', 'turkie', 'turkey state', 'türkei', 'turquie', 'turkiye cumhuriyeti', 'turkey country']"
How many jumps are in the Grand National?,"30
","[[0.28140559792518616, 0.7185943722724915]]","['30', 'thirty']"
What is the smallest state in the USA by land area?,"1 Rhode Island
","[[0.2689414322376251, 0.7310585975646973]]","['symbols of rhode island', 'rode island', 'rhode island cuisine', 'transportation in rhode island', 'rhode island u s state', 'rhode island treasurer', 'rhode island and providence plantations', 'religion in rhode island', 'education in rhode island', 'rhode island general treasurer', 'sports in rhode island', 'economy of rhode island', 'thirteenth state', 'state of rhode island', 'ocean state', 'us ri', 'rhode island governor s mansion', 'rhodeisland', 'transport in rhode island', 'rhode island villages', 'rhode island united states', '13th state', 'state of rhode island and providence plantations', 'climate of rhode island', 'rhode islander', 'geography of rhode island', 'r i', 'ri', 'villages of rhode island', 'little rhody', 'demographics of rhode island', 'rhode island agriculture', 'rhode island state', 'road island', 'culture of rhode island', 'rogue s island', 'rhode island', 'rhode islanders']"
Which world leader was awarded the Nobel Peace Prize in 1990?," George H. W. Bush
","[[0.38861799240112305, 0.6113819479942322]]","['michail gorbatschow', 'mikhail gorbachov', 'gorbachov', 'gorbachev', 'gorbachof', 'mihail gorbaciov', 'mihail gorbachyov', 'михаил сергеевич горбачёв', 'gorbachyov', 'mihail sergejevič gorbačëv', 'mihail gorbachev', 'mihail sergeevic gorbacev', 'new thinking', 'mikhail gorbachyov', 'gorbachav', 'mikhail sergeyevich gorbachev', 'mihail sergejevic gorbacev', 'gorbatsof', 'm gorbachev', 'mikhail s gorbachev', 'mihail gorbačëv', 'michail gorbatsjov', 'gorbacev', 'mihail sergeevič gorbačëv', 'mikhail gorbachev', 'mikhail gorbechev', 'mikhail sergeyevich gorbachyov', 'gorbatsiov', 'january proposal', 'gorbačëv', 'gorbatschow', 'mikhael gorbachev', 'mihail gorbacev', 'irina mihailovna virganskaya', 'mikhail gorbačëv', 'michael gorbachev', 'gorbachevian', 'gorbacheu', 'gorbachoff', 'irina virganskaya', 'mikhail sergeyevich gorbachov', 'михаил горбачёв', 'mikael gorbachev']"
Mary of Modena was the second wife of which of our monarchs?,"1st James
","[[0.17328819632530212, 0.8267117738723755]]","['james second', 'james vii of uk', 'james ii king of england', 'jimmy two', 'king james ii', 'james ii stuart', 'james ii of england and vii of scotland', 'james vii and ii', 'kjii', 'james vii', 'james ii of england vii of scotland', 'james vii of scotland', 'king james vii', 'king james vii of scotland', 'james ii and vii', 'james ii', 'james ii of ireland', 'james of york', 'james vii of scots', 'cultural depictions of james ii of england', 'james ii of england', 'james vi of scotland and ii of england', 'james ii of great britain', 'james stuart duke of york', 'james ii england', 'king james ii of england', 'james vii ii', 'james vii of scotland and ii of england', 'james ii vii', 'james shit', 'james vii of united kingdom', 'james duke of york']"
"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?","100
","[[0.3073580265045166, 0.6926419734954834]]","['hunger games trilogy', 'hunger game', 'hunger games', 'hunger games franchise']"
In ancient Greece whose warriors were called The Myrmidons?,"10th
","[[0.25091278553009033, 0.7490872144699097]]","['achillean', 'achle', 'akilles', 'akhilleus aiákidês', 'akkilles', 'pelides', 'akhilles', 'achilles', 'ἀχιλλεύς', 'achillies', 'akhilleus aiakides', 'peleion', 'akhilleus', 'αχιλλέας', 'achilleus', 'achillis']"
What is the name of the highest point on the Isle of Man?,"1,050 ft
","[[0.23370636999607086, 0.7662936449050903]]",['snaefell']
"In woodworking joints, what do you insert into your mortise?"," Tenon
","[[0.7431679368019104, 0.25683197379112244]]","['tenons', 'tenon disambiguation', 'tenon', 'ténon']"
British athlete Tessa Sanderson competed in which field event?,"3000m
","[[0.2018132209777832, 0.7981867790222168]]","['javelin weapon', 'acconzius', 'javelin pole weapon', 'throwing spears', 'akontion', 'javelins', 'javelin', 'throwing spear']"
Which British Royal Naval officer was known as the ‘Hero of the Nile’?,"18th Earl of Chatham
","[[0.19930799305438995, 0.8006919622421265]]","['horatio nelson 1st viscount nelson 1st duke of bronté', 'nelson horatio', 'admiral nelson', 'lord nelson', 'hero of trafalgar', 'horatio nelson', 'horatio lord nelson', 'horatio viscount nelson nelson', 'horatio nelson 1st viscount nelson of nile', 'nelson horatio viscount nelson', 'viscount nelson nelson horatio', 'horatio nelson viscount nelson of nile', 'horatio nelson 1st viscount nelson', 'horatio nelson viscount nelson', 'admiral lord nelson', 'sir horatio nelson', 'lord horatio nelson', 'haratio nelson', 'horatio nelson viscount of nile', 'horacio nelson', 'horatio viscount nelson', 'horatio nelson 1st viscount nelson 1st duke of bronte', 'admiral horatio nelson']"
"What is the largest city in the province of Alberta, Canada?"," Edmonton
","[[0.3849121630191803, 0.6150878667831421]]","['un locode cacal', 'calgarian', 'c spot', 'weather in calgary', 'calgary alberta canada', 'calgary ab', 'almadina school', 'calgarians', 'calgary canada', 'city of calgary', 'calgary', 'art gallery of calgary', 'calgary albreta', 'calgry', 'almadina language charter academy', 'calagary', 'calgary alberta']"
Which step in photosynthesis is responsible for splitting water molecules?,"2
","[[0.23370636999607086, 0.7662936449050903]]","['light reaction', 'light reaction disambiguation']"
Which musical was Victor Fleming making the same time as he was making Gone With the Wind?,"1939
","[[0.2538609802722931, 0.7461389899253845]]","['ozu no mahôtsukai', 'wizard of oz film', 'wizard of oz disambiguation', 'ozu no mahotsukai', 'ozu no mahōtsukai', 'wizard of oz', 'ozu no mahoutsukai']"
In which Dickens novel do the characters Thomas Traddles and James Steerforth appear?," David Copperfield
","[[0.5117166042327881, 0.4882833957672119]]","['david copperfeild', 'david copperfield', 'david copperfield novel', 'personal history experience and observation of david copperfield younger of blunderstone rookery which he never meant to be published on any account', 'david copperfield dickens', 'cooperfield', 'mr creakle', 'personal history adventures experience and observation of david copperfield younger of blunderstone rookery', 'david cooperfield']"
Who composed ‘A Sea Symphony’ between 1903 and 1909?,"1909
","[[0.4378235340118408, 0.562176525592804]]","['ralph vaughan williams', 'vaughan williams', 'vaughan williams om', 'ballets by ralph vaughan williams', '22ralph vaughn williams 22', 'ralph van williams', 'ralph vaughn williams', 'ralph von willams', 'vaughn williams', 'ralph vaughan williams om']"
Which City was Glenn Miller travelling to when his plane went missing?," San Francisco
","[[0.2422056347131729, 0.7577943801879883]]","['paris musical', 'paris', 'paris u s', 'places named paris', 'paris list', 'paris usa', 'paris roman actor', 'paris album', 'paris disambiguation', 'list of places and things named paris', 'paris actor', 'paris film']"
"Which four letter word beginning with A is the name of a  god depicted as a bull, symbolising fertility and strength in war?"," Anubis
","[[0.2658804655075073, 0.7341195344924927]]","['apis', 'apis disambiguation']"
"Which is recognised as the most massive bacterium so far discovered, reaching up to .75mm in length and large enough to be visible to the naked eye?"," Epulopiscium fishelsoni
","[[0.46101677417755127, 0.5389832258224487]]","['t namibiensis', 'sulfur pearl of namibia', 'thiomargarita', 'thiomargarita namibiensis']"
What is the largest continent on Earth," Asia
","[[0.45713672041893005, 0.5428633093833923]]","['азия', '亞', 'continental asia', 'name of asia', '亜', 'asia major', 'asia continent', '亚', 'asian continent', 'asia']"
Hamelin is on which river?," Weser
","[[0.665410578250885, 0.3345894515514374]]","['river weser', 'wesser river', 'weser', 'visurgis', 'lower weser', 'weser river', 'alte weser', 'wezera', 'unterweser', 'middle weser']"
Who was voted Time Magazine person of the century in 1999?,"20th century: Winston Churchill
","[[0.33111974596977234, 0.66888028383255]]","['al einstein', 'alber enstien', 'tribute to einstein', 'albert enstien', 'einstein physicist', 'einstien', 'albert einstin', 'albert enstein', 'alber einstein', 'albert einstein s', 'albert eienstein', 'albert einstein', 'einsetein', 'einstien albert', 'albert einstien', 'einstein', 'einstein albert', 'einsteinian']"
"The period between 1450 and 1600 in European development is known by what term, initially used by Italian scholars to express the rediscovery of ancient Roman and Greek culture?"," Renaissance
","[[0.5698526501655579, 0.43014734983444214]]","['late renaissance', 'renassance', 'renaisance', 'renaissance era', 'reniassance', 'opening phase of renaissance', 'reaisance', 'rennisance', 'european renassiance', 'rennaissance', 'early modern renaissance', 'early renaissance', 'renaissance period', 'renaissance', 'reneissance', 'renaissance europe', 'renaissance material', 'renisance', 'rennassance', 'renaissance art and architecture', 'beginning of renaissance', 'early renassance', 'renasance', 'rennaisance', 'european renaissance', 'idea of renaissance', 'reanissance', 'renniassence', 'il rinascimento', 'renaissance age', 'renissance', 'renessaince']"
Who was the first person to cross the English Channel by aeroplane?," Louis Blériot
","[[0.4378235340118408, 0.562176525592804]]","['louis blériot', 'louis charles joseph blériot', 'louis bleriot']"
The Frog Cake was created in 1922 by Balfours Bakery in which country?," Scotland
","[[0.5774953365325928, 0.42250463366508484]]","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
Which actor played Sergeant Francis Troy in the 1967 film ‘Far From the Madding Crowd’?," Peter Finch
","[[0.33111974596977234, 0.66888028383255]]","['terry stamp', 'terence stamp', 'terrence stamp', 'terrance stamp']"
Who played the role of 'Jools' in the film 'Pulp Fiction'?," Uma Thurman
","[[0.42250463366508484, 0.5774953365325928]]","['sam l', 'sl jackson', 's l jackson', 'samuel l', 'jackson samuel', 'samuel jackson', 'samuel l jackson', 'samuel leroy jackson']"
In which country would you find the region of Assam?," India
","[[0.6150878667831421, 0.3849121630191803]]","['భారత గణతంత్ర రాజ్యము', 'భారత రిపబ్లిక్', 'bhārtiya prajāsattāk', 'republic of india', 'ভারত', 'hindio', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'भारतीय प्रजासत्ताक', 'ભારતીય ગણતંત્ર', 'indea', 'ভারত গণরাজ্য', 'இந்தியக் குடியரசு', 'india country', 'les indes', 'هندستانڀارت،', 'etymology of india', 'भारतमहाराज्यम्', 'india', 'جمہوٗرِیت بًارت', 'भारतीय गणराज्याच्या', 'ভারতরাষ্টৃ', 'india s', 'ভারতীয় প্রজাতন্ত্র', 'ഭാരത മഹാരാജ്യം', 'bhārat gaṇarājya', 'ভাৰত গণৰাজ্য', 'ଭାରତ ଗଣରାଜ୍ଯ', 'இந்திய', 'जुम्हूरियत भारत', 'union of india', 'hindistan', 'indya', 'bhart', 'iso 3166 1 in', 'bharat ganrajya', 'भारत गणराज्य', 'indian republic', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'indian state', 'جمہوریہ بھارت', 'iso 3166 1 alpha 3 ind']"
Who was the Republican candidate who lost the Presidential election to Barack Obama in 2012?," Mitt Romney
","[[0.3073580265045166, 0.6926419734954834]]","['willard romney', 'willard m romney', 'willard mitt', 'w m romney', 'mittens romney', 'governor mitt romney', 'mitt romney', 'gov mitt romney', 'mitt romny', 'mittromney', 'governor romney', 'w mitt romney', 'mit romney', 'willard mitt romney', 'mitt romney presidential campaign 2016']"
Which 1929 film directed by Alfred Hitchcock is considered to be the first all-talkie feature British film?," Blackmail
","[[0.3415825068950653, 0.6584175229072571]]","['blackmailer', 'r v lawrence and pomroy', 'blackmailed', 'blackmailing', 'blackmail', 'blackmails', 'black mail']"
"""What 1978 film featured the songs """"You're the One That I Want"""" and """"Born to Hand Jive""""?"""," Grease
","[[0.4765796959400177, 0.5234203934669495]]","['grease', 'grease disambiguation', 'grease album']"
Podgorica is the capital of which country?," Montenegro
","[[0.562176525592804, 0.4378235340118408]]","['cernogoria', 'etymology of montenegro', 'muntenegru', 'name of montenegro', 'црна гора', 'montenengro', 'crna gora', 'mali i zi', 'republic of montinegro', 'orlina', 'monténégro', 'montinegro', 'iso 3166 1 me', 'montenegro', 'montonegro', 'republika crna gora', 'република црна гора']"
"""What was the family name of the Mafia mob depicted in the """"Godfather"""" movies?"""," Corleone
","[[0.562176525592804, 0.4378235340118408]]","['corleone sicily', 'corleone italy', 'corleone']"
The 'Battle of Trafalgar' took place in which year?,"1805
","[[0.3345894515514374, 0.665410578250885]]","['one thousand eight hundred and five', '1805']"
"In Shakespeare’s ‘The Tempest’, what M is the name of Prospero’s daughter?","1
","[[0.13477592170238495, 0.8652240633964539]]","['miranda film', 'miranda movie', 'miranda', 'miranda disambiguation', 'francisco de miranda municipality', 'francisco de miranda municipality disambiguation']"
"""In what country did the movie """"Mad Max"""" take place?"""," Australia
","[[0.42250463366508484, 0.5774953365325928]]","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
In which sport can both long and short corners be taken?,"7s rugby
","[[0.3702253997325897, 0.6297746300697327]]","['field hocky', 'women s field hockey', 'land hockey', 'hockey ball', 'field hockey', 'grass hockey', '🏑']"
"The Meteorological Office was founded in 1854, which Vice-Admiral was its first head?","1st Baron Kelvin
","[[0.25091278553009033, 0.7490872144699097]]","['robert fitz roy', 'captain fitzroy', 'fitzroy robert', 'governor fitzroy', 'robert fitzroy', 'vice admiral robert fitzroy']"
"If The Beatles were listed in a 1969 telephone book, who would be the last to be listed?","1969
","[[0.3345894515514374, 0.665410578250885]]","['richard henry parkin starkey jr', 'richard starrkey', 'richie snare', 'richard starkey jr', 'ringo star', '22ringo 22', 'ringo starkey', 'starr ringo', 'richard starkey', 'ringo', 'ringo film', 'ringo starr', 'beatle ringo', 'richard starky']"
Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?," J B Priestley
","[[0.5389832258224487, 0.46101677417755127]]","['j b preistley', 'j b priestly', 'john boynton priestley', 'j b priestley', 'jb priestley']"
What does someone with xenoglossophobia fear?,"2nd language
","[[0.4378235340118408, 0.562176525592804]]","['foreign languages', 'non native speaker', 'non native speakers', 'foreign language']"
Who was the first national hunt jockey to ride 1000 winners?,"1950s
","[[0.1294027417898178, 0.8705973029136658]]",['stan mellor']
"Which Disney film, released in 1994, is the highest-grossing hand-drawn film in history?"," Beauty and the Beast
","[[0.3345894515514374, 0.665410578250885]]","['lion king movie', 'cub at end of lion king', 'lion king 1994 film', 'disney s lion king', 'lion king plot', 'lion king characters', 'chaka lion king', 'lion king 3d', 'disney s lion king 1994 film', 'lion king i', 'disney lion king', 'simba and nala s newborn cub', 'simba and nala s new born cub', 'lion king film', 'lionking', 'lion king']"
In Germany a gessellschaft is a?,"1. A partnership 2. A corporation 3. A limited liability company
","[[0.7718434929847717, 0.22815649211406708]]","['and sons', 'and co', 'cmpany', 'registered company', 'company legal', 'compnay', 'compagnies', 'registered companies', 'campany', 'company', '㏇', 'comapnies', 'and company', 'compagnie', 'your company', 'company law', 'incorporated company', 'companies', 'comapny']"
"If you wanted to let more light into a camera lens, would you choose a lower or a higher aperture number (f-stop)?","1.4
","[[0.4687906503677368, 0.531209409236908]]","['lower disambiguation', 'lower']"
Who played the original 'Granddad' in Only Fools and Horses?,"	David Dinnen
","[[0.31153160333633423, 0.6884684562683105]]",['lennard pearce']
How many counters does each player have in a game of backgammon?,"15
","[[0.39981159567832947, 0.6001883149147034]]","['fifteen', '15']"
"In the human body, what is the 'Trachea more commonly known as?"," Windpipe
","[[0.672331690788269, 0.32766830921173096]]","['vertebrate trachea', 'tracheal disease', 'tracheal diseases', 'wind pipe', 'trachea', 'invertebrate trachea', 'windpipe disambiguation', 'human trachea', 'air pipe', 'windwipe', 'ligamenta anularia tracheae', 'windpipe', 'trachaea', 'tracheary', 'trachea disambiguation', 'ligamenta anularia', 'trachea transplant', 'airpipe', 'tracea', 'annular ligaments of trachea', 'tracheae']"
Which element is represented by the symbol 'P' in the periodic table?,"15 Phosphorus
","[[0.2782568037509918, 0.7217432260513306]]","['phospho', 'element 15', 'phosphorus in biological systems', 'phosphorus compounds', 'phosphorus chemical element', 'p32 isotope', 'phosphorus', 'red phosphorous', '32p', 'phosporus', 'fosforus']"
What specially adapted item was used to deliver a lethal injection to the Bulgarian dissident Georgi Markov in 1978?,"4-inch umbrella
","[[0.29421496391296387, 0.7057850360870361]]","['windproof umbrella', '☔', 'umbrellas', 'history of umbrella', 'parasol', '☂', '🌂', 'beach umbrella', 'umbrella', 'parasols', 'unbrella', 'umbrela', 'beach parasol']"
Now in the Premier League who is the manager of Leicester City Football Club?," Brendan Rodgers
","[[0.3242354094982147, 0.6757646203041077]]",['nigel pearson']
"""Who directed """"Pulp Fiction"""" and """"Kill Bill""""?"""," Quentin Tarantino
","[[0.5039061903953552, 0.49609383940696716]]","['tarantinoesque', 'quinten tarantino', 'killer crow 2015 film', 'killer crow', 'quintin terantino', 'red apple cigarettes', 'q tarentino', 'quentin jerome tarantino', 'quintin tarantino', 'quinton terrantino', 'quentintarrantino', 'quentin tarantino', 'quentin tarintino', 'q tarantino', 'quentin tarrantino', 'killer crow film', 'quinten tarintino', 'quentin tarentino', 'quinton tarantino', 'list of awards and nominations received by quentin tarantino', 'vega brothers']"
Which American President was the teddy bear named after?,"26th President Theodore Roosevelt
","[[0.25091278553009033, 0.7490872144699097]]","['t ros', 'cowboy president', 'theodore roosavelt', 'trust buster', 'president theodore roosevelt', 'teddy roosvelt', 'teddy rosevelt', 't roosevelt', 'roosevelt theodore', 'feddy roosevelt', 'cowboy of dakotas', 'teddy rose', '26th president of united states', 'teddy roosevelt foreign policy', 'teddy roose', 'teodoro roosevelt', 'theodore roosevelt', 'theodor roosevelt', 't roosevelt administration', 'teddy roosevelt']"
"Tiger, Turks Cap and Stargazer are all types of which plant?","1000-year-old cactus
","[[0.29421496391296387, 0.7057850360870361]]","['lily poisoning', 'lilium', 'lillium', 'lily', 'lilies', 'martagon', 'lirium', 'lily flowers', 'lily flower', 'asiatic lily']"
The Ballad of Bonnie and Clyde was a no.1 hit in 1967 for which singer?,"5th Dimension
","[[0.29421496391296387, 0.7057850360870361]]",['georgie fame']
"Who was the mother of Marie Antoinette, wife of Louis XIV of France?"," Maria Theresa of Spain
","[[0.4035668671131134, 0.596433162689209]]","['queen theresa of bohemia and hungary', 'maria theresa queen of hungary', 'children of holy roman emperor francis i and maria theresa of austria', 'maria ii theresa', 'maria theresa empress of habsburg', 'holy roman empress theresa', 'maria ii of hungary', 'holy roman empress maria theresa', 'maria holy roman empress', 'maria ii theresa of hungary', 'marie therese of austria', 'marie thérèse d autriche', 'holy roman empress maria', 'maria theresa of hungary', 'maria theresa habsburg empress', 'archduchess maria theresa of austria 1717–1780', 'mary theresa of austria', 'children of francis stephen and maria theresa', 'mary ii of hungary', 'maria theresa holy roman empress', 'empress maria theresa', 'marie therese d autriche', 'queen maria of bohemia and hungary', 'maria theresa of austria queen of hungary', 'theresa holy roman empress', 'theresa queen of bohemia and hungary', 'archduchess maria theresa of austria 1717 1780', 'maria theresa i of hungary', 'archduchess maria theresia of austria 1717 1780', 'maria queen of bohemia and hungary', 'maria teresa empress of austria', 'maria theresa of austria', 'maria theresa archduchess of austria', 'queen maria theresa of bohemia and hungary', 'marie terezie', 'maria theresa i of austria', 'maria theresia', 'maria theresa', 'maria theresa of bohemia', 'maria theresia habsburg', 'maria theresia of austria', 'marie thérèse of austria', 'maria theresa habsburg', 'empress maria theresa of austria', 'maria theresa queen of bohemia and hungary']"
