question,answer,normalized_aliases
"Which restaurant in Bray, Berkshire, was at the centre of a novovirus scare in 2009?"," The Fat Duck
",['fat duck']
Which German-born political scientist and winner of the Nobel Peace Prize served as National Security Advisor and later concurrently as Secretary of State in the Richard Nixon administration?," Henry Kissinger
","['heinz alfred kissinger', 'dr henry kissinger', 'power is ultimate aphrodisiac', 'henry alfred kissinger', 'henry kissinger', 'dr kissinger', 'heinz kissinger', 'dr henry kissenger', 'kissinger henry', 'kissingerian', 'henry kissenger', 'kissenger', 'office of multilateral diplomacy']"
Which actor played the role of Admiral Harriman Nelson in the 1960's TV series Voyage to the Bottom of the Sea?," Robert Sterling
",['richard basehart']
The ‘Qumran Scrolls’ are better known by what name?," Dead Sea Scrolls
","['qumran scrolls', 'discovery of dead sea scrolls', 'dead sea scolls', 'dead sea scroll', 'muhammed edh dhib', 'tanakh at qumran', 'dead sea sacred manuscripts', 'qumran caves scrolls', 'dead sea scrolls', 'qumran documents', 'who wrote dead sea scrolls 3f search for secret of qumran', 'carbon dating dead sea scrolls']"
In which American city do the 'Rockets' play their home basketball games?," Houston
","['houston texas usa', 'houstonians', 'ciudadehouston org', 'houston city', 'houstan texas', 'hoston', 'un locode ushou', 'houstontx gov', 'media of houston', 'houston', 'houston us tx', 'houston usa', 'houston tx usa', 'houston texas redir', 'houston texas', 'houston texas u s', 'houston united states', 'city of houston', 'houstan tx', 'houston tx', 'city of houston texas', 'houston texas united states', 'energy capital of world', 'houston tex', 'houstan', 'media in houston']"
The Great Barrier Reef lies off the shores of what country?," Australia
","['australie', 'orstraya', 'federal australia', 'australias', 'empire of australia', 'modern australia', 'asutralia', 'iso 3166 1 au', 'australien', 'australia country', 'australia federation', 'austraila', 'country life in australia', 'philosophy in australia', 'australlia', 'continental australia', 'pax australiana', 'austrlaia', 'australia dominion', 'australian woman s day', 'australia monarchy', 'australia', 'australian country life', 'united states of australia', 'mainland australia', 'australia commonwealth', 'austalia', 'australija', 'australocentric', 'peace of australia', 'australia realm', 'ostralia', 'australocentrist', 'australian geopolitics', 'australia nation', 'australia commonwealth realm', 'australian', 'australian city life', 'australia empire', 'austraya', 'australiia', 'geopolitics of australia', 'australo', 'technology in australia', 'ausrtalia', 'australai', 'australia nation state', 'science in australia', 'dominion of australia', 'commonwealth of australia', 'australia state', 'aussieland', 'australian mainland', 'australian s', 'imperial australia', 'austrailia', 'city life in australia', 'austrlia', 'commonwealth australia', 'straya', 'australocentrism', 'australia s', 'australia constitutional monarchy', 'etymology of australia', 'australian commonwealth', 'new australian']"
What is the main ingredient of the Italian dish 'Frito Misto'?," Fried vegetables
","['sea foods', 'seafood', 'health benefits of eating seafood', 'seafoods', 'sea food']"
What is the longest river in Italy ?," Po
","['p o', 'po disambiguation', 'po']"
Which disease used to be called infantile paralysis?," Polio
","['bulbar poliomyelitis', 'poliomylitis', 'abortive poliomyelitis', 'debility of lower extremities', 'paralytic poliomyelitis', 'poliomyelitis', 'heine medin s disease', 'bulbar polio', 'acute poliomyelitis', 'poliomyelitiss', 'heine medin disease', 'poliomyelitis paralytic', 'poliomyelitis bulbar', 'polio', 'acute anterior poliomyelitis', 'paralytic polio', 'infantile paralysis', 'poliomyletis']"
What is the title of a 1968 hit single by The Scaffold which is a modernisation of an older folk song called The Ballad of Lydia Pinkham’?,"10 Green Bottles
","['lilly pink', 'lydia e pinkham', 'medicinal compound', 'lydia e pinkham s vegetable compound', 'lydia pinkham', 'lydia estes pinkham', 'lily pink']"
Which boxer was The Bronx Bull?," Joe Louis
","['jake lamotta', 'jake la motta']"
20-year old criminology undergraduate Marisol Valles Garcia became police chief of drug-war-torn town Praxedis Guadalupe Guerrero in what country?," Mexico
","['mexican coast', 'united mexican states', 'mexican united states', 'mexxico', 'mexic', 'estados unidos de mexico', 'mexique', 'mountains of mexico', 'mehico', 'republic of mexico', 'mexican republic', 'sierra de la estrella', 'mexican', 'united states of mexico', 'central mexico', 'eum', 'estados unidos mexicanos', 'old mexico', 'etymology of mexico', 'iso 3166 1 mx', 'untied mexican states', 'messico', 'mexico country', 'mexiko', 'mexican union', 'meixcan', 'estados unidos de méxico', 'united states of mexicans', 'mexican federal republic', 'mejico', 'united state of mexico', 'méxico', 'mexico', 'mexicó', 'méjico']"
"Whos missing: Denver Nuggets, Utah Jazz, Portland Trail Blazers, Minnesota Timberwolves?","1993
","['o k thunder', 'okla city thunder', 'nba oklahoma city franchise', 'oklahoma city nba', 'okc thunder', 'oklahoma city nba franchise', 'oklahoma city national basketball association team', 'oklahoma city nba team', 'o k c thunder', 'oklahoma city thunder', 'ok thunder', 'oklahoma city nba seasons', 'okc nba', 'nba oklahoma city', 'oklahoma city national basketball association franchise']"
In which film is Cary Grant seen running into a field being pursued by a biplane?," North by Northwest
","['man in lincoln s nose', 'north by northwest film', 'nxnw', 'north by norhtwest', 'north by northwest moive', 'north by northwest movie', 'nbnw', 'north by northwest', 'north by north west', 'n by nw']"
Who partnered Jamie Murray when he won the mixed doubles title at Wimbledon in 2007?," Liezel Huber
","['jelena yankovic', 'yelena yankovic', 'yelena jankovic', 'smiling serb', 'јелена јанковић', 'jelena jankovic career info', 'elena yankovic', 'jelena jankovic', 'elena jankovic', 'jelena janković']"
In August 2011 NASA announced that photographic evidence had been captured of possible liquid water of which planet in our solar system?,"2003 UB313
","['fourth planet', 'mars', 'oblate mars', 'mars surface features', '4th planet', 'marte planet', '2003 opposition of mars', 'mars opposition', 'hydrology of mars', 'planet mars', 'sol e', 'opposition of mars', 'sun e', 'mars orbit', 'physical characteristics of mars', 'sol 4', 'mars planet', 'magnetosphere of mars', 'sol iv']"
How is Paul Reubens also known in the film and TV world?,"1001 Nightstand
","['peewee herman', 'pee wee herman']"
"""In the """"Back to the Future"""" series of films, the past was 1955, and the future was 2015. When was """"now""""?""","1985
","['one thousand nine hundred and eighty five', '1985']"
Poldark Pride and Kernow Imperial Stout are recent beers from Coastal Brewery in which county?," Cornwall
","['cornwall england county', 'corn wall', 'cerniw', 'cornwall', 'cornwall england', 'west wales kingdom', 'cornwall uk', 'belerion', 'cornwall county england', 'cernyw', 'cornwall united kingdom', 'curnow', 'cornuvia', 'maps of cornwall', 'kernow']"
What is either a popular heavy metal band or a Medieval torture device?,"666
","['iron maidan', 'iron maiden heavy metal band', 'maiden band', 'iron maiden', 'iron miaden', 'up irons', 'dennis wilcock', 'ed force one', 'world iron maiden day', 'michael kenney', 'tony parsons musician', 'iron maiden band']"
Which actor narrated the 1970’s UK tv documentary ‘The World At War’?," Peter Cushing
","['lord laurence olivier', 'laurence kerr olivier baron olivier', 'sir laurence olivier', 'lawrence oliver', 'laurence olivier', 'laurence oliver', 'lawrence olivier', 'larry olivier', 'lord olivier', 'laurence kerr olivier baron olivier om', 'sir lawrence olivier', 'laurence kerr olivier', 'laurence olivier baron olivier', 'olivier laurence kerr 1st baron olivier of brighton', 'laurence k olivier', 'lord lawrence olivier', 'laurence kerr 1st baron olivier of brighton olivier', 'laurence baron olivier of brighton olivier']"
The Six-Day War took place in which year?,"1967
","['1967', 'one thousand nine hundred and sixty seven']"
Which came first? Dunkin' Donuts? Or Starbucks?,"1950s
","['coolatta', 'vanilla bean coolata', 'fritalian', 'dunkin coffee', 'dunking donuts', 'vanilla bean coolatta', 'dunkins', 'dunking doughnuts', 'dunkies', 'dunkin donut', 'dunkin donuts', 'bunkin bonuts', 'dunkin doughnuts']"
"The Count di Luna, and his brother Manrico, vie for the love of Leonora in which Verdi opera, first performed in 1853?"," La Traviata
","['il trovatore', 'ii trovatore', 'azucena gypsy', 'dei miei bollenti spiriti', 'le trouvère', 'leonora il trovatore', 'troubador']"
"The Malinois, the Tevuren and the Talbot all come from which country?"," Belgium
","['cockpit of europe', 'koninkrijk belgie', 'königreich belgien', 'belgië', 'begium', 'konigreich belgien', 'belgie', 'quebec of europe', 'belgio', 'iso 3166 1 be', 'administrative divisions of belgium', 'belgium facts', 'koninkrijk belgië', 'belgique', 'belgium', 'beljam', 'kingdom of belgians', 'blegium', 'belguim', 'belgium belgie', 'belgian', 'belgum', 'beldjike', 'royaume de belgique', 'beligum', 'belgien', 'people of belgium', 'kingdom of belgium', 'koenigreich belgien', 'beljum']"
In which Australian state can you find the Derwent river?," Tasmania
","['tasmanian cuisine', 'tasmania', 'tazzie', 'tsmnia', 'taswegian', 'geography of tasmania', 'au tas', 'tasmnaia', 'tasmanian', 'tasmania australia', 'tasmanian people', 'local government in tasmania']"
Who was a one hit wonder in 1981 with O Superman,"80s singer
","['lori anderson', 'laurie anderson', 'laurie anderson performance artist']"
"When 'National No-Bra Day' was observed in the United States in 2011, which company tweeted that it was in denial?"," Victoria's Secret
","['victoria s secret', 'victoria secrets', 'victoria s secret angels', 'victoriassecret', 'victoria s secret angel', 'victorias secret', 'victoria secret', 'victoriasecret', 'university of pink']"
"""What do the initials in the UK TV show """"QI"""" represent?""","100 Questions of Interest
","['quite interesting', 'quite interesting disambiguation']"
Which constituency was represented by Tony Blair?," Sedgefield
","['sedgefield', 'segfield']"
What area in square metres is a hectare?,"10000
","['ten thousand time', '10 000', '10000 time']"
What became the world's first national park?,"1872
","['yellowstone nationa park', 'yellow stone', 'yellowstone national parc', 'yellowstone national park archives', 'yellowstone national park wy', 'yellowstone np', 'yellow stone national park', 'yellowstone park', 'yellowstone history', 'yellowstone climate', 'yellowstone', 'mallard lake trail', 'yellowstone act', 'yellowstone national park montana', 'yellowstone national park']"
At which location in London is the Mermaid Theatre?,"14 London Wall
",['puddle dock']
"8th June 2013 marked the centenary of the death of which suffragette, 4 days after colliding with the King's hors; Ammer, at the Epsom Derby?"," Emily Davison
","['anmer horse', 'emily davidson', 'emily davison', 'emily wilding davison']"
Which fictitious riverboat gave Credence Clearwater Revival their first hit single in Britain?,"1969
","['proud mary song', 'proud mary', 'rolling on river']"
"Near the 18th green, on which British golf course is a deep depression called ‘The Valley of Sin’?"," St Andrews
","['saint andrews united kingdom', 'saunt aundraes', 's andreas', 'kilrymont', 'history of st andrews', 'royal burgh of st andrews', 'cill rìmhinn', 'standrews', 'st andrews burgh council', 'st andrews', 'saint andrews', 'st andrews fife', 'west sands', 's andrea']"
Who is the oldest actress ever to win a film Oscar?,"94
",['jessica tandy']
What is the family name of the Dukes of Westminster?," Gordon
","['grosvenor', 'grosvenor disambiguation', 'grovenor']"
"""""""Coronation Street"""" is set in what suburb?"""," Weatherfield
","['weatherfield general', 'underworld knickers', 'rosamund street', 'list of business in weatherfield', 'list of businesses in weatherfield', 'weatherfield gazette', 'list of residences in weatherfield', 'weatherfield', 'red rec', 'weatherfield county fc', 'weatherfield arms']"
"Which cocktail is a mixture of brandy and crème de cacao, often with cream?","1950s
","['brandy alexander cocktail', 'brandy alexander']"
The home of The Royal Concertgebouw is in which city?," Amsterdam
","['classis of amsterdam', 'geography of amsterdam', 'amsterdam', 'ampsterdam', 'capital of holland', 'amsterdam netherlands', 'amsterdam noord holland', 'amsterdam north holland', 'capitals of netherlands', 'un locode nlams', 'amesterdam', 'amsterdam holland', 'ámsterdam', 'nlams']"
"In a greyhound race, what colour does the greyhound in trap 3 wear?","3
","['color white', 'white political adjective', 'whitishness', 'rgb 255 255 255', '255 255 255', 'ffffff', 'whitishly', 'white colour', 'man on white horse', 'white', 'whiter', 'white finn', 'whitest']"
"""The Neil Simon plays """"The Prisoner of Second Avenue"""" and """"Brighton Beach Memoirs"""" are set in which city?"""," New York
","['us ny', 'n y', 'neo york', '11th state', 'new york state s', 'nýja jórvík', 'new yourk', 'new york us', 'new york', 'estado nueva york', 'nova york', 'ny state', 'state new york', 'new yourk state', 'u s state of new york', 'eleventh state', 'state of n y', 'new york u s', 'new york s', 'n y u s state', 'newyork', 'new york usa state', 'new yrok', 'state of new yourk', 'state of new york', 'nyja jorvik', 'ny', 'estado de nueva york', 'religion in new york', 'nueva york estado', 'new york u s state', 'new york state', 'state of ny', 'n y state', 'us state of new york', 'nys', 'new york population', 'ny u s state']"
"Which company made The Comet, the world’s first passenger jet airliner?"," de Havilland
","['de havilland', 'de haviland', 'dehavilland', 'de havilland aircraft', 'de havilland aircraft company', 'dehaviland']"
"""""""Rinka"""" the Great Dane was owned by which male model?"""," David Gandy
","['norman scott disambiguation', 'norman scott']"
Which canal system links the River Thames (London) and Birmingham?,"18th century
","['grand union album', 'grand union disambiguation', 'grand union']"
Who was the singer who had big hits with 'In The Midnight Hour' and 'Mustang Sally'?,"1970s
","['wilson picket', 'wilson pickett']"
Which country has the most time zones?," Indonesia
","['российская федерация', 'русија', 'ресей', 'northern russia', 'novaya russia', 'russie', 'арассыыйа', 'russsia', 'урысей', 'россии', 'russian federation', 'ородой холбооной улас', 'russia 1990 1993', 'росси́йская федера́ция', 'росси́я', 'оьрсийн федераций', 'аьрасат', 'урыстәыла', 'resey', 'россия', 'wildlife of russia', 'country russia', 'etymology of russia', 'росія', 'rossijskaja federatsija', 'рочму', 'russian born', 'раҫҫей', 'russian citizen', 'venaja', 'русия', 'russia', 'federation of russia', 'poccnr', 'russia country', 'venaejae', 'орсин ниицән', 'russia 1991 1993', 'rossiyskaya federatsiya', 'ресей федерациясы', 'russia federation', 'оросын холбооны улс', 'рузмастор', 'russiya', 'ryssland', 'уæрæсе', 'russland', 'рәсәй', 'iso 3166 1 ru']"
What is the technical term for double vision?," Diplopia
","['polyplopia', 'diplopy', 'monocular polyopia', 'double vision', 'diplopia', 'seeing in double']"
Which opera by Puccini was completed after his death by Franco Alfano?," Turandot
","['turandot', 'turnadot', 'turandot puccini']"
Five of the world’s ten highest waterfalls are wholly or partly in which country?," Venezuela
","['norwegen', 'kongeriket norge', 'norway', 'republic of norway', 'noorwegen', 'norvege', 'mainland norway', 'kingdom of norway', 'sport in norway', 'noreg', 'noruega', 'norwegia', 'noregur', 'royal kingdom of norway', 'name of norway', 'kongeriket noreg', 'norwegian kingdom', 'etymology of norway', 'norvège', 'iso 3166 1 no', 'norwegian state']"
In music a bagatelle is a piece of music composed primarily for which instrument," Piano
","['pianie', 'classical piano', 'acoustic piano', 'vertical piano', 'black key', 'vertical pianoforte', 'grand pianoforte', 'piano music', 'upright pianoforte', 'pianino', 'upright piano', 'baby grand piano', 'pianoforte', 'pianos', 'piano construction', 'piano', 'piano keys', 'parts of piano', 'piano hammer', 'pianofortes', 'hammer piano', 'grand piano', 'piano forte', 'keyboard hammer', 'piano technique', 'keyboard hammers', 'concert grand', 'piano hammers', 'piano performance']"
Who was President of Poland from 1990 to 1995?," Lech Walesa
","['lech walęsa', 'lech walensa', 'lech walesa', 'walensa', 'lech wałęsa', 'wałęsa', 'lekh vawensa', 'walesa', 'lech wasa']"
"Which gland, secreting various hormones essential for growth and other bodily functions, is situated in the brain ?"," Pituitary gland
","['glandula pituitaria', 'hypophysis cerebri', 'pituitary body', 'pituatary gland', 'pituitary', 'pituitary glands', 'pituitary gland', 'receptors pituitary hormone', 'hypophyse', 'hypophysical', 'pituitary diseases', 'pituary gland']"
"""Which stage musical, with music by Andrew Lloyd Webber and launched in 2004, is based on an 1860 novel by Wilike Collins and contains the songs """"You See i Am No Ghost"""" and """"The Holly And The Ivy"""" ?""","1919
","['woman in white film', 'woman in white disambiguation', 'woman in white']"
"John Maus died in May 2011, of which pop group had he been a member?","1960s
","['walker brothers', 'walker brothers disambiguation']"
"The Contra Dam, also known as the Verzasca Dam, is in which country?"," Switzerland
","['der schweiz', 'switzeland', 'confederation helvetia', 'confederatio helvetica', 'swissland', 'switzerland information', 'confederation suisse', 'switserland', 'confédération suisse', 'swizterland', 'confederation of helvatia', 'swizerland', 'svizzera', 'confederation helvetica', 'land of switzers', 'suiza', 'confederaziun svizra', 'schweiz', 'etymology of switzerland', 'die schweiz', 'suisse', 'confederazione svizzera', 'swiss', 'svizra', 'switzerland', 'schweitz', 'swiss confederation', 'switz', 'svissland', 'schwitzerland', 'environmental integrity group', 'land of swiss', 'schweizerische eidgenossenschaft', 'swissenergy', 'confœderatio helvetica', 'confoederatio helvetica', 'switzer land', 'švýcarsko', 'swiss confederated states', 'iso 3166 1 ch']"
Bridget Riley is one of the foremost exponents of which style of art?,"1950s Op Art
","['optical art', 'responsive eye', 'opart', 'op art']"
"Which Greek hero was the son of the nymph Thetis, and Peleus, the king of the Myrmidons?"," Achilles
","['achillean', 'achle', 'akilles', 'akhilleus aiákidês', 'akkilles', 'pelides', 'akhilles', 'achilles', 'ἀχιλλεύς', 'achillies', 'akhilleus aiakides', 'peleion', 'akhilleus', 'αχιλλέας', 'achilleus', 'achillis']"
In which country does football team Penarol play?," Uruguay
","['cruzada libertadora', 'uraguay', 'uruguayo', 'urú', 'uruguayan', 'health care in uruguay', 'república oriental del uruguay', 'health in uruguay', 'iso 3166 1 uy', 'etymology of uruguay', 'eastern republic of uruguay', 'oriental republic of uruguay', 'uruguay', 'uruguayan disambiguation', 'uruguay country', 'republic east of uruguay', 'uruguai', 'name of uruguay', 'media of uruguay']"
"""According to a fragment of """"The Achilleid"""", written by Statius in the first century AD, when Achilles the mythological Greek hero was born, his mother tried to make him immortal by dipping him in the river Styx. Where was he left vulnerable?"""," heel
","['heels', 'cracked heels', 'heel', 'hiel']"
Where were the FIBA (Basketball) World Championships held in 2006?," Spain
","['nihon koku', 'nihon', 'japoa', 'japang', 'japan', '日本國', 'etymology of japan', 'iso 3166 1 jp', 'jpan', 'japan country', 'riben', 'rìběn', '🗾', 'japanese financial sector', 'japian', 'nippon koku', 'state of japan', 'nippon', 'modern–era japan', 'republic of japan', '日本国', 'jpn', 'japao', 'ja pan', '日本']"
"Based in Seattle, the TV show Fraiser was a spinoff of what long running series?","3rd Rock From The Sun
","['cheers characters', 'cheers', 'charles burrows charles', 'charles burrows charles productions', 'cheers tv series', 'melville s', 'cheers tv show']"
Which breakfast cereal was invented by Henry Perky in 1893?,"7 Up
","['shredded wheat', 'shredded wheat company']"
What word is used to descibe the position of a planet when it is closest to the sun?," Perigee
","['perihelion', 'aphelion and perihelion', 'aphelion', 'perihelion and aphelion']"
What was writer Mark Twain's real surname?," Clemens
","['clemens disambiguation', 'clemens']"
A white ball was first used in a World Cup in?,"1975
","['one thousand nine hundred and fifty', '1950']"
In which Spanish city would you find the Giralda Tower and the Alcazar Palace?," Seville
","['hispalis', 'sevillanos', 'seville spain', 'no8do', 'sevilla seville', 'hispalenses', 'sevillian', 'sevilla sevilla', 'ishbiliya', 'un locode essvq', 'seville', 'weather in sevilla', 'sevilla spain', 'sevilla', 'sevillano', 'seville seville', 'weather in seville', 'hispalense']"
In which English city is Temple Meads Railway Station?," Bristol
","['bristol england', 'westbury park primary school', 'bristol', 'bristolshire', 'bristol city of ua', 'bristol district', 'weather in bristol', 'county borough of bristol', 'un locode gbbrs', 'brycgstow', 'bristol united kingdom', 'brizzle', 'bristol uk', 'city of bristol', 'unitary authority of bristol', 'city of bristol united kingdom']"
Which US state is known as the Hoosier State?," Indiana
","['19th state', 'indiana state', 'education in indiana', 'transportation in indiana', 'state of indiana', 'religion in indiana', 'indiana usa', 'hoosier state', 'indiana', 'climate of indiana', 'indiana u s state', 'northeastern indiana', 'indana', 'commonwealth of indiana', 'ind', 'transport in indiana', 'nineteenth state', 'demographics of indiana', 'indiania', 'indiana united states', 'us in']"
"The result of dividing a number into one is called the what, of that number?","1
","['reciprocal disambiguation', 'reciprocal', 'reciprocality', 'reciprocals']"
Napes Needle is on which Lake District fell?," Scafell
","['great gable', 'napes needle']"
"Who is missing from this list - 'Dancer', 'Dasher', 'Donner' ,Blitzen', 'Vixen', 'Prancer' and 'Comet'?","1
","['cupid', 'cupid s arrow', 'cupid holiday character']"
"In which century was St Andrews University, the oldest University in Scotland founded?","15th
","['15 century', 'year in review 15th century', '15th centuries', 'fifteenth century', 'xv century', '15th century', '15th century ce', 'xvth century', 'xv th century', '15th cent']"
"Erected in 1989, what large geometric glass structure serves as the main entrance to the Louvre Museum in Paris?"," Pyramide du Louvre
","['pyramid', 'mythical and miracle power of pyramids', 'paddling pyramid', 'pyramids', 'pyrimids', 'pyramidal', 'piramid', 'paddle pyramid', 'spanking pyramid']"
What was the only part of the British Isles to be occupied by Germany in World War II?," Jersey
","['history of channel islands', 'norman isles', 'transport in channel islands', 'culture of channel islands', 'îles d la manche', 'îles de la manche', 'îles anglo normandes', 'sport in channel islands', 'guernsey channel islands', 'economy of channel islands', 'channel islands uk', 'anglo norman isles', 'channel islanders', 'geography of channel islands', 'channel island', 'channel islands', 'communications of channel islands', 'channel islands britain', 'channel isles']"
"On June 2, 1997, major asshat Timothy McVeigh is convicted on 15 counts of murder and conspiracy for his part in what heinous act?","1995 Oklahoma City bombing
",['bombing of alfred p murrah federal building in oklahoma city']
By what name was Botswana known before 1967?," Bechuanaland
","['bechuanaland protectorate', 'bechuanaland', 'history of bechuanaland protectorate', 'bechuana land', 'protectorate of bechuanaland']"
What colour are the stars on the flag of the European Community?,"12
","['rgb 255 255 0', 'yellow colour', 'royal yellow', 'dark yellow', '255 255 0', 'yellower', 'yellow color', 'yelow', 'whiteyellow', 'yellowishness', 'white yellow', 'yellow white', 'yellowy', 'symbolism of yellow', 'yellowishly', 'yellow', 'yellowest', 'yellowwhite']"
"In 1954, what was the last item to be no longer rationed in Britain?","100% cotton clothing
","['m e t', 'meat']"
The traditional African instrument called a djembe is a small?," Drum
","['drum playing', 'drum clamp', 'sri lankan drums', 'udekkia', 'drum music', 'drums musical instrument', 'drum instrument', 'thammattama', 'davula', 'sri lanka drum', 'drum', 'sound of drum', 'yak bera', 'drum musical instrument', 'kandyan drum', 'geta bera', 'tamburo', 'metal drums', 'drum body']"
Which national Sunday newspaper is published in 'Berliner format'?," Berliner Zeitung
","['observer', 'observers', 'observer disambiguation']"
What term used by California wineries denotes red and white Bordeaux-style wines and is intended to not infringe on the 'heritage' of Bordeaux's legally protected designation of origin?,"1er Cru
",['meritage']
What iconic Moscow theatre reopened in 2011 after major refurbishment and earlier decades of neglect?,"1812
","['bolshoy theatre orchestra', 'bolshoi', 'bolshoy', 'bol shoy', 'bolshoi disambiguation']"
What do the British call the vegetables that Americans call zucchini?," Courgettes
","['zuccinis', 'green squash', '8 ball zucchini', 'tondo di piacenza', 'zuchini', 'zucchina', 'stuffed zucchini', 'zuccini bread', 'zukes', 'zuccini', 'zucini', 'zucchinni', 'zuchini bread', 'italian squash', 'zucchinis', 'courgettes', 'stuffed zucchinis', 'baby marrow', 'zucinis', 'corgette', 'zucini bread', 'zucchini', 'courgette', 'zucchini bread', 'zuchinis']"
The ‘Ring of Fire’ is in which ocean?," Pacific
","['eastern pacific ocean', 'oceanum pacificum', 'north pacific', 'pacific basin', 'mid pacific', 'west pacific', 'eastern pacific', 'southern pacific ocean', 'tepre pacificum', 'pacific oceans', 'mar del sur', 'peaceful sea', 'east pacific', 'sea of magellan', 'pacific region', 'pacific ocean', 'south western pacific', 'north pacific fisheries', 'great south sea', 'south pacific ocean', 'western pacific ocean', 'north pacific ocean', 'pacific']"
The Tabqa Dam is in which country?," Syria
","['souria', 'syrie', 'سوريا', 'assad regime', 'suriyah', 'northern syria', 'الجمهوريّة العربيّة السّوريّة', 'arab republic of syria', 'syria', 'syrian language', 'assad government', 'subdivisions of syria', 'sport in syria', 'الجمهورية العربية السورية', 'administrative divisions of syria', 'sūriyā', 'amorrhitis', 'sourie', 'etymology of syria', 'syrian arab republic', 'syrien', 'sūrīyah', 'iso 3166 1 sy']"
"In the game of Cluedo, which of the rooms would come last alphabetically?","1st
","['study disambiguation', 'study', 'studied', 'studies']"
Which musical features the songs 'Brush Up Your Shakespeare' and 'From This Moment On'?,"54th Street
","['kiss me kate disambiguation', 'kiss me kate']"
In the Chuck Berry song Memphis Tennessee how old was Marie,"17
","['6 time', 'six time', 'six years old']"
"""What is the English translation of the phrase """"annus horribilis""""?"""," Annus Horribilis
",['horrible year']
"The brunch dish of poached eggs, muffins, bacon/ham and hollandaise sauce, popularized in New York City is 'Eggs...?"," Benedict
","['benedict', 'saint benedict disambiguation', 'benédict', 'bénedict', 'benedict disambiguation', 'bénédict']"
Eve Pollard is the agony aunt from which daily newspaper?," Daily Mail
","['irish daily mirror', 'mirror online', 'irish mirror', 'monday mania', 'sunday pictorial', 'sunday mirror', 'mirror uk', 'london daily mirror', 'celeb on sunday', 'mirror co uk', 'scurra', 'mirror united kingdom', 'daily mirror', 'we love telly']"
The 'Suicide Squad' are/were a gang of football hooligans who supported which North West club?,"1980s Manchester United
","['burnley lancashire', 'burnley', 'county borough of burnley', 'burnley england']"
Actress Fenella Fielding is often wrongly credited with having a famous brother. Who is he reputed to be?,"1960s pop star
","['lauretta feldman', 'marty feldman']"
Which sci-fi author wrote the three laws of robotics?," Isaac Asimov
","['issac asimov', 'isaacasimov', 'eyzik asimov', 'isaak ozimov', 'asimov s work', 'world season calendar', 'manya asimov', 'isaac azimov', 'izaak ozimov', 'george e dale', 'bibliography of isaac asimov', 'isaak yudovich ozimov', 'list of isaac asimov works', 'world seasonal calendar', 'marcia asimov', 'isaac asimov complete bibliography', 'asimov', 'dr isaac asimov', 'aisek asimov', 'eyzek asimov', 'isaac asimov bibliography', 'asimov isaac', 'asimovian', 'isac asimof', 'isaac asimov works', 'issac assimov', 'list of books by isaac asimov', 'dr', 'complete bibliography of books by isaac asimov', 'isacc asimov', 'isaac asimov']"
The repeating decimal of which number equals the real number 1?,"0.9999
","['zero point nine nine nine', '0 999']"
"The Sutherland Falls, the fifth highest waterfalls in the world are in which country?"," New Zealand
","['newzealand', 'new zealand', 'aotearoa', 'kiwistan', 'new zeland', 'staten land', 'staten landt', 'neo zealand', 'new zeeland', 'mew zealand', 'new zealand s', 'new zealend', 'iso 3166 1 nz', 'nova zeelandia', 'aotearoa new zealand', 'nu tirani', 'subdivisions of new zealand', 'n zealand', 'new zealnd', 'new zealnad', 'new xealand', 'administrative divisions of new zealand', 'maoriland', 'nzl', 'niu tireni', 'new z', 'its got that new zeal', 'n z', 'name of new zealand', 'enzed', 'nz', 'new zaeland', 'new zelanad', 'sheepland', 'etymology of new zealand', 'kiwiland', 'māoria', 'staaten land', 'nouvelle zelande']"
Independent radio station 'Galaxy FM 102' broadcasts from which town/city?," Chelmsford
","['manchester uk', 'england manchester', 'manchester u k', 'manchester city england', 'manchester borough', 'manchester england', 'metropolitan borough of manchester', 'mancs', 'climate of manchester', 'manchester greater manchester', 'manchester', 'machester', 'drizzlechester', 'county borough of manchester', 'manchester united kingdom', 'weather in manchester', 'un locode gbmnc', 'manchester developments', 'city of manchester']"
What city were the Beatles from?," Liverpool
","['liverpool england', 'liverpool britain', 'liverpool borough', 'county borough of liverpool', 'liverpool', 'liverpool uk', 'liverpool u k', 'liverpool archive 1', 'scouseland', 'liverpool merseyside', 'liverpudlians', 'metropolitan borough of liverpool', 'l pool', 'lerpwl', 'landmarks in liverpool', 'liverpudlian', 'weather in liverpool']"
Jacqueline du Pr was famous for playing what instrument?,"2 Violins
","['tim janof internet cello society', 'cello', 'violincello', 'cellos', 'handbass', 'shoulder viola', 'celli', 'violoncelli', 'viola da spalla', 'violoncellist', 'violoncello', 'violoncellos', 'cellist', 'violincellist', 'celloist', 'celo', 'violoncello da span', 'violoncello piccolo da spalla', 'violoncello piccolo']"
What was the name of the restaurant opened in London in 1993 by Bruce Willis Sylvester Stallone and Arnold Schwarzenegger,"1922
","['planet hollywood', 'aladdin hotel']"
What comic book character who is particularly appealing to teens was created by its producer who hoped to attract fans of the Andy Hardy movies starring Mickey Rooney?,"1940s Superman
","['r c h i e', 'archie']"
